date,warehouse_id,region,orders,shipment_weight,workers,scanner_used,processing_time
2023-01-01,WH_1,South,147,264.2738602170092,12,1,30.443821264225328
2023-01-01,WH_2,West,93,264.9537319396589,7,0,33.33606980261115
2023-01-01,WH_3,North,126,307.62467338070536,10,1,29.556135621387106
2023-01-02,WH_1,West,85,168.94612465797067,7,0,36.07170872481245
2023-01-02,WH_2,North,123,302.7905448012091,10,1,30.760411476094603
2023-01-02,WH_3,East,87,165.0697483855125,7,0,37.04048689066077
2023-01-03,WH_1,South,123,340.88255307389454,10,1,21.112094586984977
2023-01-03,WH_2,North,92,144.70255596972947,7,1,20.8654109116719
2023-01-03,WH_3,West,108,310.9399427054989,9,0,38.57236669032586
2023-01-04,WH_1,North,119,266.4547173319403,9,1,19.974220249514886
2023-01-04,WH_2,East,121,224.62918201087717,10,0,29.71290328682812
2023-01-04,WH_3,North,125,315.27861278105405,10,1,23.58918419126808
2023-01-05,WH_1,South,113,295.4570043885286,9,1,18.36142383860277
2023-01-05,WH_2,North,115,197.15598833465498,9,1,19.719317221987563
2023-01-05,WH_3,South,116,331.442777323347,9,0,36.33231037356731
2023-01-06,WH_1,East,95,171.90455703162112,7,1,17.116987117045028
2023-01-06,WH_2,East,143,388.3532096118981,11,1,20.285594371738583
2023-01-06,WH_3,South,89,157.41282955058048,7,0,33.83771765621482
2023-01-07,WH_1,South,139,254.33723954813328,11,1,22.927277231132585
2023-01-07,WH_2,West,85,248.29828624498055,7,1,30.974876394330693
2023-01-07,WH_3,South,135,252.1224309561105,11,1,31.607632170488294
2023-01-08,WH_1,West,100,226.51571229432923,8,0,30.610341440922106
2023-01-08,WH_2,West,87,131.7451275558117,7,1,30.193423049471654
2023-01-08,WH_3,South,147,277.5449279951674,12,0,33.83616510269536
2023-01-09,WH_1,South,134,213.52815383381747,11,1,18.095146932402315
2023-01-09,WH_2,North,101,162.82921552633633,8,1,20.509844172221268
2023-01-09,WH_3,South,137,366.48179647337145,11,1,33.36093021373109
2023-01-10,WH_1,North,101,252.08661098598515,8,1,16.501151034413418
2023-01-10,WH_2,West,109,181.93888135499188,9,0,31.55018183620415
2023-01-10,WH_3,South,140,354.671992517554,11,1,29.356680685105843
2023-01-11,WH_1,South,82,220.45315915854837,6,0,26.183902663366318
2023-01-11,WH_2,East,106,159.10908644409375,8,1,29.027511897165645
2023-01-11,WH_3,East,145,408.5265303466952,12,0,28.09763304828536
2023-01-12,WH_1,West,141,352.14377625611166,11,0,29.935669270120293
2023-01-12,WH_2,North,144,262.107387159871,12,0,38.9587758557287
2023-01-12,WH_3,East,80,174.1688787672827,6,1,27.39096692310691
2023-01-13,WH_1,East,149,390.4587867506179,12,1,25.23954190814308
2023-01-13,WH_2,North,147,231.8338883471087,12,0,36.622346409993256
2023-01-13,WH_3,East,105,303.95029678456604,8,1,19.95718855201988
2023-01-14,WH_1,South,82,156.66389179072232,6,1,23.639844618786945
2023-01-14,WH_2,South,101,173.42535095243335,8,1,30.834881882928237
2023-01-14,WH_3,South,97,204.43225572048576,8,1,28.250654975346386
2023-01-15,WH_1,West,103,171.77890626300376,8,0,34.03351116836821
2023-01-15,WH_2,North,108,252.8676550311551,9,0,31.087419821735608
2023-01-15,WH_3,West,91,263.42316539625284,7,1,20.203720965398546
2023-01-16,WH_1,East,84,127.18671849311524,7,1,22.43219809317465
2023-01-16,WH_2,North,96,253.01599023946036,8,0,34.801632496516426
